N,P,K,temperature,humidity,ph,rainfall,elevation,slope,aspect,water_holding_capacity,wind_speed,solar_radiation,ec,zn,soil_texture,label
113.41,54.91,45.07,21.2165208,62.381061,6.64,1191.89,1498.32,14.65,267.41,0.58,4.99,16.68,0.49,2.82,Sandy Loam,Coffee
108.29,68.5,87.15,18.904920800000003,77.039211,5.86,1105.52,1874.12,3.33,18.59,0.82,2.61,14.43,0.47,2.34,Clay Loam,Coffee
48.68,68.51,30.92,22.5424208,68.365061,6.0,864.69,1800.37,17.76,298.64,0.56,4.42,13.42,0.58,2.93,Loam,Cassava
95.35,79.35,25.61,24.9421608,62.079761,5.87,923.63,1555.5,4.5,341.93,0.73,2.66,17.94,0.23,2.05,Sandy Loam,Sorghum
93.84,71.27,34.73,22.1638008,77.899511,5.56,953.58,1334.68,5.12,342.44,0.62,3.47,18.58,0.23,1.61,Sandy Clay,Beans
64.43,58.8,27.37,20.075860799999997,71.235011,6.53,940.68,1623.65,9.68,52.67,0.74,3.43,13.7,0.23,2.66,Sandy Clay,Sweet Potatoes
64.88,50.87,35.49,15.8389008,75.40091100000001,6.89,979.86,1912.13,13.41,107.26,0.67,3.46,13.06,0.53,1.62,Sandy Clay,Irish Potatoes
105.3,62.29,57.05,22.656160800000002,65.46221100000001,6.09,1114.12,1963.5,14.19,354.8,0.63,4.3,13.27,0.48,1.02,Loam,Bananas
78.4,34.8,84.51,20.8622808,75.89311099999999,6.77,1088.3,1815.44,2.39,315.72,0.69,3.95,15.66,0.49,2.14,Sandy Loam,Beans
83.03,19.54,50.21,22.6688808,78.76031099999999,6.44,917.74,1957.14,6.98,341.15,0.58,4.3,14.48,0.57,2.29,Sandy,Sorghum
39.49,74.14,28.56,22.766080799999997,65.002011,5.73,888.08,1933.54,5.21,52.63,0.64,3.14,18.78,0.3,2.38,Clay Loam,Cassava
105.19,67.78,72.82,19.0805408,79.87866100000001,6.83,1219.41,1741.31,15.8,339.16,0.72,3.4,17.03,0.51,2.04,Sandy Loam,Coffee
84.61,27.47,81.75,23.2184608,65.590411,6.85,1019.76,1357.35,15.75,247.06,0.58,2.95,15.23,0.43,1.98,Clay Loam,Beans
79.97,66.29,81.63,19.200640800000002,77.924311,6.18,1086.54,1931.26,15.69,92.39,0.79,4.02,14.69,0.28,1.16,Sandy Clay,Beans
114.81,54.61,59.05,22.278080799999998,64.74506099999999,6.84,962.69,1337.54,14.56,149.56,0.6,4.24,17.87,0.5,1.48,Loam,Maize
74.5,14.64,58.88,17.2786008,73.826761,5.62,1007.03,1467.28,3.95,256.94,0.73,3.0,16.54,0.24,1.02,Loam,Irish Potatoes
80.45,30.58,42.44,21.2133808,77.828661,6.78,1001.41,1424.89,14.32,228.38,0.84,3.01,18.16,0.21,2.1,Clay Loam,Soybeans
106.8,44.63,65.43,18.4579208,75.689411,5.76,1139.56,1717.62,6.16,48.15,0.68,4.44,17.19,0.3,2.59,Sandy Loam,Coffee
