district,sector,latitude,longitude,soil_type,crop_type,planting_year,planting_season,field_size_ha,elevation_m,soil_ph,soil_organic_matter,soil_nitrogen,soil_phosphorus,soil_potassium,avg_temperature,min_temperature,max_temperature,rainfall_mm,rainfall_days,humidity_pct,fertilizer_used,fertilizer_quantity_kg_ha,pesticide_used,irrigation_used,previous_year_yield,yield_tonnes_per_ha
Kirehe,Kigina,-2.2311,30.6775,Sandy loam,Vegetables,2015,A,6.008816563670221,1239.1346312363257,5.878976210637941,2.9439975445336497,0.35018915782050575,19.516935505320603,98.98973116735242,26.638264114498742,22.490878140697255,34.554418543532684,723.3021325075316,60,52.593487960047014,0,0.0,1,0,5.2041806460570665,14.005429745664195
Rulindo,Bushoki,-1.7117,29.9931,Clay,Maize,2015,B,6.658970615104422,2296.3879642093284,5.467566614134117,3.0401360423556216,0.3439898742374418,22.792730738758262,125.36724640835307,21.095688407863797,17.872036476824483,29.030123090866383,1379.7024703062757,140,70.7597177394033,0,0.0,1,1,6.256619760419608,2.791904789675966
Rwamagana,Munyaga,-1.9506,30.405,Clay,Sorghum,2015,A,9.158100787883429,1661.3589823801806,5.143115174735617,2.7416365043965327,0.2675109600008854,17.57946762330597,180.48342206021667,23.633498038462946,18.943671322533795,30.111078470593583,802.3213819234168,74,55.443424137281625,0,0.0,0,1,8.17714360586196,2.8939723792407346
Rubavu,Busasamana,-1.7123,29.2678,Loam,Rice,2015,B,8.844474563296796,2980.942256754243,6.801134129063163,3.7696599427179662,0.3345594640344197,33.57528304027814,173.98279977986286,13.990957834502616,8.902045015983251,20.552310784124828,2115.4802791734023,200,81.74301953132553,1,109.89047266674311,0,0,9.863679314050707,6.6315392621449885
Kamonyi,Kayumbu,-2.0678,29.7567,Clay,Banana,2015,C,3.7595791150079045,2488.8666228331736,5.705450951669057,3.966846281789686,0.38043198628696084,34.21111154706909,251.92807720713571,19.335220157130156,14.12957179940784,23.380578260818723,1982.590011161548,184,80.70998300907863,1,182.41264458900162,0,0,9.023549700556604,25.497452229263082
Gatsibo,Nyagihanga,-1.7311,30.4775,Clay,Banana,2015,A,2.860826390662601,1727.7896322669387,6.050536744959157,3.693322284476612,0.3617127779656663,44.17657477575534,136.78961477891508,21.104741378331035,17.005335024582454,27.825593993613847,744.8335590840983,65,66.8682353047607,1,209.08315454647385,0,0,9.799482153612585,27.049790045917298
Nyaruguru,Munini,-2.7234,29.6789,Clay loam,Coffee,2015,C,4.400504218553244,2681.169029599308,5.845277902362333,3.4983867597695046,0.4170541020878037,19.337066209717822,147.72945898409634,15.055394880085998,11.249970309415527,20.481794251467576,1392.6552408163416,121,69.45187034707175,1,297.51346252606584,0,0,8.835044183315576,1.9767388633110508
Nyanza,Kibirizi,-2.3678,29.7789,Loam,Maize,2015,A,7.054592431472382,2351.845021189104,7.052950315886555,4.391585338872202,0.4529094906681661,23.062831632921533,213.53609737570468,19.297380484785293,16.205879734968146,22.484121428531367,1577.8165916303287,173,76.92553841635483,1,242.4983882746527,0,0,1.310800917440796,3.484127746456802
Gicumbi,Rwamiko,-1.6361,30.1275,Sandy loam,Cassava,2015,C,1.4696956149362337,1710.9171400661223,6.399640264916151,2.876999801530733,0.2802972178436031,29.087259789659555,91.80116564186953,22.933540557694517,19.457601214767045,26.53436379672273,1021.0269676478114,111,64.49582625951474,1,74.45854016275037,1,0,2.145417764145144,24.19507653113111
Rutsiro,Manihira,-1.9789,29.4678,Loam,Banana,2015,B,6.196915970716943,2787.126810685865,6.039766965812433,3.9715511625469264,0.390523085002637,35.026370770124394,268.7095611081449,19.241141129652224,15.653767725284334,22.58794763402805,2055.0119900335876,200,73.19548117158068,1,146.34915524139126,1,0,2.9765980182410794,28.1708374095051
