location,month,month_name,temperature_c,rainfall_mm,humidity_pct
Bugesera,1,January,23.7,17.8,60.3
Bugesera,2,February,22.0,18.4,61.4
Bugesera,3,March,21.3,315.7,71.0
Bugesera,4,April,20.6,300.8,70.8
Bugesera,5,May,21.0,356.1,70.7
Bugesera,6,June,22.0,20.7,59.8
Bugesera,7,July,23.7,21.8,61.1
Bugesera,8,August,25.0,20.5,60.1
Bugesera,9,September,26.4,126.0,71.2
Bugesera,10,October,26.6,133.1,70.8
Bugesera,11,November,26.6,134.8,70.6
Bugesera,12,December,25.0,120.8,71.2
Burera,1,January,19.0,49.7,67.8
Burera,2,February,17.4,23.6,67.8
Burera,3,March,16.4,677.1,78.6
Burera,4,April,16.1,660.0,77.7
Burera,5,May,16.2,600.8,78.8
Burera,6,June,17.4,42.9,68.3
Burera,7,July,18.9,42.1,68.4
Burera,8,August,20.7,43.3,68.8
Burera,9,September,21.7,233.9,79.0
Burera,10,October,22.0,229.5,78.5
Burera,11,November,21.3,240.5,77.6
Burera,12,December,20.5,238.4,77.9
Gakenke,1,January,20.2,42.1,66.7
Gakenke,2,February,19.0,35.4,65.9
Gakenke,3,March,18.0,619.2,76.9
Gakenke,4,April,17.6,473.8,76.1
Gakenke,5,May,17.6,563.0,75.7
Gakenke,6,June,19.0,35.1,65.8
Gakenke,7,July,20.7,44.4,66.3
Gakenke,8,August,21.9,42.9,65.2
Gakenke,9,September,23.2,259.8,75.7
Gakenke,10,October,23.5,290.5,76.8
Gakenke,11,November,22.9,222.1,76.0
Gakenke,12,December,21.8,255.9,75.3
Gasabo,1,January,21.9,27.5,64.3
Gasabo,2,February,20.8,28.2,64.9
Gasabo,3,March,19.4,505.7,75.3
Gasabo,4,April,18.9,470.0,74.9
Gasabo,5,May,19.4,445.3,74.8
Gasabo,6,June,20.3,35.0,64.3
Gasabo,7,July,22.1,31.2,65.7
Gasabo,8,August,23.4,32.2,64.4
Gasabo,9,September,24.5,219.2,75.9
Gasabo,10,October,25.0,159.7,75.5
Gasabo,11,November,24.7,182.2,75.2
Gasabo,12,December,23.4,159.7,74.9
Gatsibo,1,January,23.7,22.3,60.9
Gatsibo,2,February,22.8,21.4,61.0
Gatsibo,3,March,21.2,378.8,72.1
Gatsibo,4,April,21.1,352.1,71.4
Gatsibo,5,May,21.3,344.1,70.7
Gatsibo,6,June,22.3,16.7,60.6
Gatsibo,7,July,24.0,17.1,61.6
Gatsibo,8,August,25.0,23.6,61.9
Gatsibo,9,September,26.4,122.9,71.3
Gatsibo,10,October,26.7,144.3,70.8
Gatsibo,11,November,26.4,136.8,71.4
Gatsibo,12,December,25.3,147.6,70.3
Gicumbi,1,January,18.8,33.3,68.4
Gicumbi,2,February,17.4,44.3,66.5
Gicumbi,3,March,16.1,597.2,76.8
Gicumbi,4,April,15.4,506.5,77.0
Gicumbi,5,May,15.9,538.0,76.8
Gicumbi,6,June,17.2,44.3,66.4
Gicumbi,7,July,18.9,31.1,66.8
Gicumbi,8,August,20.2,39.4,66.9
Gicumbi,9,September,21.7,195.2,77.4
Gicumbi,10,October,21.6,250.6,76.5
