location,season,temperature_c,rainfall_mm,humidity_pct
Bugesera,Major Dry Season,23.6,63.0,60.4
Bugesera,Major Rainy Season,21.0,972.6,70.9
Bugesera,Minor Dry Season,22.9,36.2,60.9
Bugesera,Minor Rainy Season,26.1,514.7,70.9
Burera,Major Dry Season,19.0,128.3,68.5
Burera,Major Rainy Season,16.2,1937.9,78.4
Burera,Minor Dry Season,18.2,73.3,67.8
Burera,Minor Rainy Season,21.4,942.3,78.2
Gakenke,Major Dry Season,20.6,122.4,65.8
Gakenke,Major Rainy Season,17.7,1656.0,76.2
Gakenke,Minor Dry Season,19.6,77.5,66.3
Gakenke,Minor Rainy Season,22.8,1028.3,75.9
Gasabo,Major Dry Season,21.9,98.4,64.8
Gasabo,Major Rainy Season,19.2,1421.0,75.0
Gasabo,Minor Dry Season,21.4,55.7,64.6
Gasabo,Minor Rainy Season,24.4,720.8,75.4
Gatsibo,Major Dry Season,23.8,57.4,61.3
Gatsibo,Major Rainy Season,21.2,1075.0,71.4
Gatsibo,Minor Dry Season,23.3,43.7,61.0
Gatsibo,Minor Rainy Season,26.2,551.6,71.0
Gicumbi,Major Dry Season,18.8,114.8,66.7
Gicumbi,Major Rainy Season,15.8,1641.7,76.9
Gicumbi,Minor Dry Season,18.1,77.6,67.5
Gicumbi,Minor Rainy Season,21.2,867.6,76.5
Gisagara,Major Dry Season,21.4,88.2,67.6
Gisagara,Major Rainy Season,18.9,1600.0,78.6
Gisagara,Minor Dry Season,20.7,71.9,68.0
Gisagara,Minor Rainy Season,23.8,762.4,78.3
Huye,Major Dry Season,21.1,106.0,69.7
Huye,Major Rainy Season,18.5,1595.8,80.1
Huye,Minor Dry Season,20.5,70.6,69.5
Huye,Minor Rainy Season,23.5,874.8,79.5
Kamonyi,Major Dry Season,21.9,100.4,66.3
Kamonyi,Major Rainy Season,19.1,1482.2,76.3
Kamonyi,Minor Dry Season,20.7,64.4,66.6
Kamonyi,Minor Rainy Season,24.3,817.6,76.0
Karongi,Major Dry Season,22.5,92.4,70.5
Karongi,Major Rainy Season,19.6,1587.1,80.1
Karongi,Minor Dry Season,21.7,66.9,70.6
Karongi,Minor Rainy Season,24.9,803.6,79.9
Kayonza,Major Dry Season,23.4,65.5,62.4
Kayonza,Major Rainy Season,20.8,1117.0,72.1
Kayonza,Minor Dry Season,22.8,45.5,62.0
Kayonza,Minor Rainy Season,25.9,649.8,71.8
Kicukiro,Major Dry Season,22.3,87.1,64.5
Kicukiro,Major Rainy Season,19.7,1256.0,74.0
Kicukiro,Minor Dry Season,21.6,60.8,64.0
Kicukiro,Minor Rainy Season,24.6,710.1,74.2
Kirehe,Major Dry Season,24.3,62.1,59.0
Kirehe,Major Rainy Season,21.7,928.6,69.3
Kirehe,Minor Dry Season,23.6,52.6,59.6
Kirehe,Minor Rainy Season,26.5,459.8,68.9
Muhanga,Major Dry Season,20.7,85.9,67.4
Muhanga,Major Rainy Season,18.1,1543.8,78.0
Muhanga,Minor Dry Season,20.1,60.0,67.7
Muhanga,Minor Rainy Season,23.1,829.8,77.8
Musanze,Major Dry Season,19.3,132.6,67.0
Musanze,Major Rainy Season,16.7,1675.2,77.1
Musanze,Minor Dry Season,18.7,73.0,67.7
Musanze,Minor Rainy Season,21.8,928.8,77.1
Ngoma,Major Dry Season,22.9,70.5,61.5
Ngoma,Major Rainy Season,20.3,1165.8,71.5
Ngoma,Minor Dry Season,22.1,45.7,61.8
Ngoma,Minor Rainy Season,25.3,613.1,72.2
Ngororero,Major Dry Season,21.0,107.9,67.0
Ngororero,Major Rainy Season,18.3,1647.7,77.1
Ngororero,Minor Dry Season,20.5,88.8,67.5
Ngororero,Minor Rainy Season,23.4,936.8,77.2
Nyabihu,Major Dry Season,19.4,112.1,69.7
Nyabihu,Major Rainy Season,16.8,1946.9,79.3
Nyabihu,Minor Dry Season,18.5,77.7,68.7
Nyabihu,Minor Rainy Season,21.7,1014.2,79.2
Nyagatare,Major Dry Season,24.0,63.6,59.9
Nyagatare,Major Rainy Season,21.4,867.9,69.8
Nyagatare,Minor Dry Season,23.2,32.8,59.8
Nyagatare,Minor Rainy Season,26.4,525.8,69.9
Nyamagabe,Major Dry Season,20.3,107.8,70.0
Nyamagabe,Major Rainy Season,17.6,1793.2,80.2
Nyamagabe,Minor Dry Season,19.7,67.3,69.7
Nyamagabe,Minor Rainy Season,22.6,972.6,80.0
Nyamasheke,Major Dry Season,22.7,107.8,69.9
Nyamasheke,Major Rainy Season,20.0,1728.0,79.7
Nyamasheke,Minor Dry Season,21.8,85.5,70.8
Nyamasheke,Minor Rainy Season,24.9,905.4,80.3
Nyanza,Major Dry Season,21.2,101.2,68.7
Nyanza,Major Rainy Season,18.4,1565.3,79.0
Nyanza,Minor Dry Season,20.8,62.7,68.9
Nyanza,Minor Rainy Season,23.5,870.2,79.1
Nyarugenge,Major Dry Season,22.2,114.1,64.8
Nyarugenge,Major Rainy Season,19.7,1436.3,75.5
Nyarugenge,Minor Dry Season,21.3,47.9,64.4
Nyarugenge,Minor Rainy Season,24.7,790.0,75.2
Nyaruguru,Major Dry Season,20.2,100.3,69.2
Nyaruguru,Major Rainy Season,17.6,1700.9,78.6
Nyaruguru,Minor Dry Season,19.5,73.7,68.8
Nyaruguru,Minor Rainy Season,22.7,912.7,78.8
Rubavu,Major Dry Season,23.0,92.6,72.6
Rubavu,Major Rainy Season,20.2,1464.5,83.3
Rubavu,Minor Dry Season,22.1,55.5,73.5
Rubavu,Minor Rainy Season,25.4,834.8,83.1
Ruhango,Major Dry Season,21.2,92.2,68.2
Ruhango,Major Rainy Season,18.7,1569.6,78.2
Ruhango,Minor Dry Season,20.8,52.0,67.5
Ruhango,Minor Rainy Season,23.8,854.5,78.0
Rulindo,Major Dry Season,20.3,117.8,65.8
Rulindo,Major Rainy Season,17.1,1571.8,75.4
Rulindo,Minor Dry Season,19.5,73.8,66.4
Rulindo,Minor Rainy Season,22.4,975.0,75.9
Rusizi,Major Dry Season,22.9,90.1,71.1
Rusizi,Major Rainy Season,20.0,1563.3,80.7
Rusizi,Minor Dry Season,22.1,57.7,71.0
Rusizi,Minor Rainy Season,25.1,812.0,81.3
Rutsiro,Major Dry Season,21.6,110.1,68.2
Rutsiro,Major Rainy Season,18.8,1662.7,78.5
Rutsiro,Minor Dry Season,20.9,60.2,68.0
Rutsiro,Minor Rainy Season,23.9,844.1,77.8
Rwamagana,Major Dry Season,22.8,86.9,62.4
Rwamagana,Major Rainy Season,20.4,1247.6,73.4
