location,temperature_c,rainfall_mm,humidity_pct
Bugesera,23.7,1586.5,66.6
Burera,19.0,3081.8,74.1
Gakenke,20.5,2884.2,71.9
Gasabo,22.0,2295.9,70.9
Gatsibo,23.9,1727.7,67.0
Gicumbi,18.7,2701.7,72.7
Gisagara,21.4,2522.5,74.0
Huye,21.1,2647.2,75.6
Kamonyi,21.8,2464.6,72.1
Karongi,22.4,2550.0,76.1
Kayonza,23.5,1877.8,67.9
Kicukiro,22.3,2114.0,70.1
Kirehe,24.2,1503.1,65.0
Muhanga,20.7,2519.5,73.6
Musanze,19.4,2809.6,73.0
Ngoma,22.9,1895.1,67.6
Ngororero,21.0,2781.2,73.0
Nyabihu,19.4,3150.9,75.1
Nyagatare,24.0,1490.1,65.7
Nyamagabe,20.3,2940.9,75.9
Nyamasheke,22.6,2826.7,76.0
Nyanza,21.2,2599.4,74.8
Nyarugenge,22.3,2388.3,70.9
Nyaruguru,20.3,2787.6,74.7
Rubavu,22.9,2447.4,79.0
Ruhango,21.4,2568.3,73.9
Rulindo,20.1,2738.4,71.7
Rusizi,22.8,2523.1,76.9
Rutsiro,21.6,2677.1,74.0
Rwamagana,23.1,2082.1,68.7
