date,location,latitude,longitude,elevation_m,temp_min_c,temp_max_c,temp_avg_c,humidity_pct,rainfall_mm,wind_speed_kmh,sunshine_hours,month,day,day_of_year,year,is_rainy_season,temp_avg_lag1,rainfall_lag1,humidity_lag1,temp_avg_lag3,rainfall_lag3,humidity_lag3,temp_avg_lag7,rainfall_lag7,humidity_lag7,temp_avg_rolling7,rainfall_rolling7,humidity_rolling7,loc_Bugesera,loc_Burera,loc_Gakenke,loc_Gasabo,loc_Gatsibo,loc_Gicumbi,loc_Gisagara,loc_Huye,loc_Kamonyi,loc_Karongi,loc_Kayonza,loc_Kicukiro,loc_Kirehe,loc_Muhanga,loc_Musanze,loc_Ngoma,loc_Ngororero,loc_Nyabihu,loc_Nyagatare,loc_Nyamagabe,loc_Nyamasheke,loc_Nyanza,loc_Nyarugenge,loc_Nyaruguru,loc_Rubavu,loc_Ruhango,loc_Rulindo,loc_Rusizi,loc_Rutsiro,loc_Rwamagana
2022-01-08,Bugesera,-2.15,30.25,1400,2.1,22.7,12.4,55.5,0.0,0.4,10.4,1,8,8,2022,0,12.9,0.0,56.2,13.1,0.0,53.8,15.6,0.0,61.3,13.471428571428573,0.0,56.028571428571425,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-09,Bugesera,-2.15,30.25,1400,2.3,21.2,11.8,54.0,0.0,1.7,10.1,1,9,9,2022,0,12.4,0.0,55.5,13.7,0.0,55.9,14.0,0.0,61.1,13.157142857142858,0.0,55.01428571428572,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-10,Bugesera,-2.15,30.25,1400,4.1,20.5,12.3,53.0,0.2,3.0,7.9,1,10,10,2022,0,11.8,0.0,54.0,12.9,0.0,56.2,14.2,0.0,57.3,12.885714285714286,0.028571428571428574,54.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-11,Bugesera,-2.15,30.25,1400,3.1,20.6,11.8,55.5,0.0,1.5,10.4,1,11,11,2022,0,12.3,0.2,53.0,12.4,0.0,55.5,14.0,0.0,52.4,12.571428571428571,0.028571428571428574,54.84285714285714,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-12,Bugesera,-2.15,30.25,1400,1.8,20.8,11.3,54.9,0.0,2.0,8.9,1,12,12,2022,0,11.8,0.0,55.5,11.8,0.0,54.0,13.1,0.0,53.8,12.314285714285717,0.028571428571428574,55.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-13,Bugesera,-2.15,30.25,1400,3.4,20.9,12.2,53.9,0.0,1.2,12.0,1,13,13,2022,0,11.3,0.0,54.9,12.3,0.2,53.0,13.7,0.0,55.9,12.1,0.028571428571428574,54.714285714285715,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-14,Bugesera,-2.15,30.25,1400,3.5,20.7,12.1,56.6,0.0,0.0,11.2,1,14,14,2022,0,12.2,0.0,53.9,11.8,0.0,55.5,12.9,0.0,56.2,11.985714285714286,0.028571428571428574,54.771428571428565,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-15,Bugesera,-2.15,30.25,1400,2.2,21.1,11.6,55.0,0.0,3.1,13.0,1,15,15,2022,0,12.1,0.0,56.6,11.3,0.0,54.9,12.4,0.0,55.5,11.87142857142857,0.028571428571428574,54.699999999999996,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-16,Bugesera,-2.15,30.25,1400,2.8,20.6,11.7,53.7,0.2,3.3,6.2,1,16,16,2022,0,11.6,0.0,55.0,12.2,0.0,53.9,11.8,0.0,54.0,11.857142857142858,0.05714285714285715,54.65714285714286,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-17,Bugesera,-2.15,30.25,1400,4.3,22.0,13.2,55.9,0.0,4.1,9.4,1,17,17,2022,0,11.7,0.2,53.7,12.1,0.0,56.6,12.3,0.2,53.0,11.985714285714286,0.028571428571428574,55.07142857142857,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
